	sample_name_R	SBS_LIV_A	SBS_LIV_B	SBS_LIV_C	SBS_LIV_D	SBS_LIV_E	SBS_LIV_F	SBS_LIV_G	SBS_LIV_H	SBS_LIV_I	SBS_LIV_J	SBS_LIV_K	SBS_LIV_L	SBS_LIV_M
241	PD37107b_lo008	357.219988415455	1.43016268339825	18.5555691628955	391.463345915166	247.867246443388	0.00244399001122608	11.7558033455602	82.8336899914513	121.114458537859	89.762844038749	74.3489109467506	173.675941043451	3.74852271774482e-12
242	PD37107b_lo009	126.685207301523	236.0623780789	45.3690518167315	285.591114737709	1415.51061080217	42.5902534518967	247.684348903356	58.3819118468244	80.1333040994829	14.2624328183665	18.7212028401551	224.976923029132	379.058495501204
243	PD37107b_lo010	58.4271657280454	92.84004871018	35.0541084529112	298.059416436514	324.399434731498	44.6356892618676	28.7900335371649	74.6946411479654	82.4364251594555	388.8175519054	43.3446287889073	3.34580881859185e-12	16.5288057793146
244	PD37107b_lo011	90.6412006692111	105.340306680648	18.9254132077092	125.435008444173	103.080051345521	76.8758493953627	94.5612132494575	133.431325588023	59.4080154421734	292.114587129124	63.4794336235257	93.7791619810658	42.9482229249798
245	PD37107b_lo012	111.018072338641	102.265511564239	9.21845229635263	21.422001999155	543.809622847975	163.990230843698	147.539580401753	210.574603947003	20.6245486512066	144.745616946772	40.9332571588144	74.8467152096388	19.023360790642
246	PD37107b_lo013	387.362932559037	55.9610936185675	5.72607509998772	337.333790070241	247.325060682158	0.000599142456267258	20.1493642561167	44.2167189271327	99.7392516519017	113.227601943466	80.3468590861275	151.16789229414	24.4702052849824
247	PD37107b_lo014	342.356365783263	60.3348691859506	3.41199892677671	319.328443853748	228.338278453216	31.6565259905878	3.89727121250345e-12	39.5183950258461	95.9886676284815	36.1888499708966	72.4422051766014	108.46145750998	3.74852271774482e-12
248	PD37107b_lo015	85.4098842770193	5.60942488975485	8.80649264051631	23.2790650012494	199.467762191462	17.3219213584099	9.05758104874513	37.6146745072642	2.7576690341277e-12	10.2523497350317	10.1059668610133	23.0010687053546	2.0919427311659
249	PD37107b_lo016	66.2061938030205	1.59594715499924	41.6453184534623	272.779852851757	333.435437754134	41.1652913115965	98.9513742934233	150.23579551798	95.7133963499365	395.463139985562	35.2366825874853	41.8626764723599	10.7364526489827
250	PD37107b_lo017	98.1718126359191	51.1628812585027	19.5643910800346	146.349753440498	91.6566354687724	52.1465944225627	33.9249808560552	22.0414357243617	38.8387756343238	141.695246128372	1.73587036404858e-10	0.000542514372020209	30.4681460435962
